Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Black Olives,1583,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Frozen Berries,58807,,,n,,,,,,,,,,,n,,,n,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Diced Tomatoes,39117,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Red Kidney Beans,6232,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Beef Tenderloin,2036,,,n,,,n,,,,,,,n,,,,,,,,,,,,,,n,n,,,,,,,,n,,,,,,,,,,,n,n,
Sesame Oil,3505,,,,n,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,n,,,,,,,,,,,,,,,,
Brown Rice,2192,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,,,,
Nutritional Yeast,264237,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Butternut Squash,1784,,,n,,,,,,,,,,,,,,n,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Powder,3814,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Onion Powder,3816,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Brown Rice Macaroni,57004,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Dark Chocolate,2762,,,n,n,,,,,,,,,n,,,,n,,,,,,n,,n,,n,,,,,,,,,,,,,,n,,n,,,n,,,
Pomegranate Seeds,157943,,,n,,,,,,,,,,,n,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Steel Cut Oats,44735,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,,,,
Turnip,2954,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Parsnip,2498,,,,,,,,,,,,,,,,,n,,,,,,,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Hummus,6778,n,,,n,,,,n,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Sunflower Seed Butter,2644,,,,n,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Frozen Cherries,4207,,,n,,,,,,,,,,,n,,,n,,,,n,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Frozen Corn,888,,,n,n,,,,,,n,,,n,,,n,n,,,,n,,,n,n,n,n,,,,,,,,n,,,,,,n,,,,,,,,
Crushed Tomatoes,2990,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,n,,,n,,,,,
Dried Basil,3806,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Mango,2399,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,
Bok Choy,2879,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Fresh Dill,4722,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Whole Chicken Carcass,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Whole Roasting Chicken,6125,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,n,n,
Dried Thyme,3427,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Italian Seasoning,145531,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Frozen Edamame,900,,,,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,,,,
Cilantro,2486,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Romaine,1736,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Tabasco Sauce,7017,,,n,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,n,,,n,,,,,,,,,,,n,n,,,,n,,,
Bacon,766,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,,,,,,n,n,n,
Parmigiano Reggiano,114871,,,n,n,,,,,,,n,,n,,,,,n,,,n,,n,n,,,n,,,,,,,,n,,,,,,,,,,,n,n,,
Matchstick Carrots,79135,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Broccolini,1893,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Poppy Seeds,56208,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Red Wine Vinegar,4729,,,n,,,,,,,,,,,,,,,n,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Pitted Kalamata Olives,1583,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Brown Rice Vermicelli Noodles,49914,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Cacao Powder,167623,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,n,,,,,,,,
Dark Chocolate Chips,76337,,,n,n,,,,,,,,,n,,,,n,,,,,,n,n,n,,n,,,,,,,,,,,,,,n,,n,,,n,,,
Fancy Molasses,1309,,,n,,,,,,,,,,n,,,,n,,,,n,n,,n,n,n,n,,,,,,,,,,,,,,n,,n,,,n,,,
Coleslaw Mix,110684,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Pistachios,2673,,,n,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Green Tea Powder,298033,,,,,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Rice Paper Wraps,116897,,,n,n,,,,,,,,,,,,n,n,,,,,n,,n,,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Artichoke Hearts,123872,,,,,,,,,,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Green Lettuce,1738,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Prosciutto,39528,,,n,,,,,,,,,,,,,,,n,,,,,n,,,,n,n,,,,,,,,n,n,,,,n,,,,,n,n,n,
Unsweetened Applesauce,4184,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Vanilla Extract,5960,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Chia Jam,,,,,n,,,,,,,,,n,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,n,,n,,,,,,
Fresh Peas,2908,,,,n,,,,,,,,,,,,,n,,n,,n,,,n,,,n,,,,,,,,n,,,,,,,,,,,,,,
Black Peppercorns,61929,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
